"GEOID","NAME","variable","estimate","moe","summary_est","summary_moe"
"06001405402","Census Tract 4054.02, Alameda County, California","B01001_001",3357,355,3357,355
"06001405500","Census Tract 4055, Alameda County, California","B01001_001",3880,347,3880,347
"06001405600","Census Tract 4056, Alameda County, California","B01001_001",3269,276,3269,276
"06001405700","Census Tract 4057, Alameda County, California","B01001_001",3531,326,3531,326
"06001405800","Census Tract 4058, Alameda County, California","B01001_001",4370,481,4370,481
"06001405901","Census Tract 4059.01, Alameda County, California","B01001_001",4426,555,4426,555
"06001405902","Census Tract 4059.02, Alameda County, California","B01001_001",2942,281,2942,281
"06001406000","Census Tract 4060, Alameda County, California","B01001_001",3796,372,3796,372
"06001406100","Census Tract 4061, Alameda County, California","B01001_001",4733,594,4733,594
"06001406201","Census Tract 4062.01, Alameda County, California","B01001_001",4995,504,4995,504
"06001406202","Census Tract 4062.02, Alameda County, California","B01001_001",4817,338,4817,338
"06001406300","Census Tract 4063, Alameda County, California","B01001_001",4383,424,4383,424
"06001406400","Census Tract 4064, Alameda County, California","B01001_001",2545,305,2545,305
"06001406500","Census Tract 4065, Alameda County, California","B01001_001",6586,520,6586,520
"06001406601","Census Tract 4066.01, Alameda County, California","B01001_001",4955,541,4955,541
"06001406602","Census Tract 4066.02, Alameda County, California","B01001_001",2698,310,2698,310
"06001406700","Census Tract 4067, Alameda County, California","B01001_001",5159,463,5159,463
"06001406800","Census Tract 4068, Alameda County, California","B01001_001",3611,273,3611,273
"06001406900","Census Tract 4069, Alameda County, California","B01001_001",3608,259,3608,259
"06001407000","Census Tract 4070, Alameda County, California","B01001_001",5869,643,5869,643
"06001407101","Census Tract 4071.01, Alameda County, California","B01001_001",3821,456,3821,456
"06001407102","Census Tract 4071.02, Alameda County, California","B01001_001",4387,381,4387,381
"06001407200","Census Tract 4072, Alameda County, California","B01001_001",6985,705,6985,705
"06001407300","Census Tract 4073, Alameda County, California","B01001_001",2420,253,2420,253
"06001407400","Census Tract 4074, Alameda County, California","B01001_001",4531,627,4531,627
"06001407500","Census Tract 4075, Alameda County, California","B01001_001",4299,559,4299,559
"06001407600","Census Tract 4076, Alameda County, California","B01001_001",6327,817,6327,817
"06001407700","Census Tract 4077, Alameda County, California","B01001_001",4122,362,4122,362
"06001407800","Census Tract 4078, Alameda County, California","B01001_001",2728,213,2728,213
"06001407900","Census Tract 4079, Alameda County, California","B01001_001",2873,273,2873,273
"06001408000","Census Tract 4080, Alameda County, California","B01001_001",2700,164,2700,164
"06001408100","Census Tract 4081, Alameda County, California","B01001_001",6320,502,6320,502
"06001408200","Census Tract 4082, Alameda County, California","B01001_001",4570,417,4570,417
"06001408300","Census Tract 4083, Alameda County, California","B01001_001",5047,399,5047,399
"06001408400","Census Tract 4084, Alameda County, California","B01001_001",3201,369,3201,369
"06001408500","Census Tract 4085, Alameda County, California","B01001_001",5977,593,5977,593
"06001408600","Census Tract 4086, Alameda County, California","B01001_001",7096,746,7096,746
"06001408700","Census Tract 4087, Alameda County, California","B01001_001",7909,629,7909,629
"06001408800","Census Tract 4088, Alameda County, California","B01001_001",7149,724,7149,724
"06001408900","Census Tract 4089, Alameda County, California","B01001_001",3546,357,3546,357
"06001409000","Census Tract 4090, Alameda County, California","B01001_001",4687,593,4687,593
"06001409100","Census Tract 4091, Alameda County, California","B01001_001",2490,231,2490,231
"06001409200","Census Tract 4092, Alameda County, California","B01001_001",3672,272,3672,272
"06001409300","Census Tract 4093, Alameda County, California","B01001_001",5303,623,5303,623
"06001409400","Census Tract 4094, Alameda County, California","B01001_001",4780,652,4780,652
"06001409500","Census Tract 4095, Alameda County, California","B01001_001",4128,347,4128,347
"06001409600","Census Tract 4096, Alameda County, California","B01001_001",4978,629,4978,629
"06001409700","Census Tract 4097, Alameda County, California","B01001_001",4991,598,4991,598
"06001409800","Census Tract 4098, Alameda County, California","B01001_001",3516,512,3516,512
"06001409900","Census Tract 4099, Alameda County, California","B01001_001",3642,402,3642,402
"06001410000","Census Tract 4100, Alameda County, California","B01001_001",3242,342,3242,342
"06001410100","Census Tract 4101, Alameda County, California","B01001_001",2667,227,2667,227
"06001410200","Census Tract 4102, Alameda County, California","B01001_001",3630,464,3630,464
"06001410300","Census Tract 4103, Alameda County, California","B01001_001",3857,288,3857,288
"06001410400","Census Tract 4104, Alameda County, California","B01001_001",4477,388,4477,388
"06001410500","Census Tract 4105, Alameda County, California","B01001_001",2705,285,2705,285
"06001420100","Census Tract 4201, Alameda County, California","B01001_001",2440,139,2440,139
"06001420200","Census Tract 4202, Alameda County, California","B01001_001",3332,255,3332,255
"06001420300","Census Tract 4203, Alameda County, California","B01001_001",4977,454,4977,454
"06001420400","Census Tract 4204, Alameda County, California","B01001_001",3062,245,3062,245
"06001420500","Census Tract 4205, Alameda County, California","B01001_001",2557,188,2557,188
"06001420600","Census Tract 4206, Alameda County, California","B01001_001",3436,239,3436,239
"06001421100","Census Tract 4211, Alameda County, California","B01001_001",2084,124,2084,124
"06001421200","Census Tract 4212, Alameda County, California","B01001_001",3594,175,3594,175
"06001421300","Census Tract 4213, Alameda County, California","B01001_001",3873,275,3873,275
"06001421400","Census Tract 4214, Alameda County, California","B01001_001",1634,135,1634,135
"06001421500","Census Tract 4215, Alameda County, California","B01001_001",3694,223,3694,223
"06001421600","Census Tract 4216, Alameda County, California","B01001_001",3617,228,3617,228
"06001421700","Census Tract 4217, Alameda County, California","B01001_001",3492,279,3492,279
"06001421800","Census Tract 4218, Alameda County, California","B01001_001",2144,136,2144,136
"06001421900","Census Tract 4219, Alameda County, California","B01001_001",4171,365,4171,365
"06001422000","Census Tract 4220, Alameda County, California","B01001_001",2156,187,2156,187
"06001422100","Census Tract 4221, Alameda County, California","B01001_001",3073,304,3073,304
"06001422200","Census Tract 4222, Alameda County, California","B01001_001",3237,253,3237,253
"06001422300","Census Tract 4223, Alameda County, California","B01001_001",3643,372,3643,372
"06001422400","Census Tract 4224, Alameda County, California","B01001_001",4487,387,4487,387
"06001422500","Census Tract 4225, Alameda County, California","B01001_001",4400,341,4400,341
"06001422600","Census Tract 4226, Alameda County, California","B01001_001",1043,182,1043,182
"06001422700","Census Tract 4227, Alameda County, California","B01001_001",5266,504,5266,504
"06001422800","Census Tract 4228, Alameda County, California","B01001_001",9064,493,9064,493
"06001422900","Census Tract 4229, Alameda County, California","B01001_001",5761,714,5761,714
"06001423000","Census Tract 4230, Alameda County, California","B01001_001",4962,408,4962,408
"06001423100","Census Tract 4231, Alameda County, California","B01001_001",4413,284,4413,284
"06001423200","Census Tract 4232, Alameda County, California","B01001_001",2982,402,2982,402
"06001423300","Census Tract 4233, Alameda County, California","B01001_001",3504,296,3504,296
"06001423400","Census Tract 4234, Alameda County, California","B01001_001",5163,535,5163,535
"06001423500","Census Tract 4235, Alameda County, California","B01001_001",3426,241,3426,241
"06001423601","Census Tract 4236.01, Alameda County, California","B01001_001",2671,227,2671,227
"06001423602","Census Tract 4236.02, Alameda County, California","B01001_001",6528,1059,6528,1059
"06001423700","Census Tract 4237, Alameda County, California","B01001_001",4148,576,4148,576
"06001423800","Census Tract 4238, Alameda County, California","B01001_001",2986,222,2986,222
"06001423901","Census Tract 4239.01, Alameda County, California","B01001_001",2054,245,2054,245
"06001423902","Census Tract 4239.02, Alameda County, California","B01001_001",1605,126,1605,126
"06001424001","Census Tract 4240.01, Alameda County, California","B01001_001",4027,320,4027,320
"06001424002","Census Tract 4240.02, Alameda County, California","B01001_001",2583,309,2583,309
"06001425101","Census Tract 4251.01, Alameda County, California","B01001_001",1659,144,1659,144
"06001425102","Census Tract 4251.02, Alameda County, California","B01001_001",3906,256,3906,256
"06001425103","Census Tract 4251.03, Alameda County, California","B01001_001",2795,195,2795,195
"06001425104","Census Tract 4251.04, Alameda County, California","B01001_001",3539,266,3539,266
"06001426100","Census Tract 4261, Alameda County, California","B01001_001",6521,213,6521,213
"06001426200","Census Tract 4262, Alameda County, California","B01001_001",4796,209,4796,209
"06001427100","Census Tract 4271, Alameda County, California","B01001_001",3975,301,3975,301
"06001427200","Census Tract 4272, Alameda County, California","B01001_001",4180,349,4180,349
"06001427300","Census Tract 4273, Alameda County, California","B01001_001",5346,278,5346,278
"06001427600","Census Tract 4276, Alameda County, California","B01001_001",5200,444,5200,444
"06001427700","Census Tract 4277, Alameda County, California","B01001_001",5201,352,5201,352
"06001427800","Census Tract 4278, Alameda County, California","B01001_001",4954,514,4954,514
"06001427900","Census Tract 4279, Alameda County, California","B01001_001",5052,382,5052,382
"06001428000","Census Tract 4280, Alameda County, California","B01001_001",2877,230,2877,230
"06001428100","Census Tract 4281, Alameda County, California","B01001_001",4839,272,4839,272
"06001428200","Census Tract 4282, Alameda County, California","B01001_001",6606,353,6606,353
"06001428301","Census Tract 4283.01, Alameda County, California","B01001_001",7277,411,7277,411
"06001428302","Census Tract 4283.02, Alameda County, California","B01001_001",7424,481,7424,481
"06001428400","Census Tract 4284, Alameda County, California","B01001_001",4568,318,4568,318
"06001428500","Census Tract 4285, Alameda County, California","B01001_001",3097,282,3097,282
"06001428600","Census Tract 4286, Alameda County, California","B01001_001",3454,250,3454,250
"06001428700","Census Tract 4287, Alameda County, California","B01001_001",4472,335,4472,335
"06001430101","Census Tract 4301.01, Alameda County, California","B01001_001",6842,509,6842,509
"06001430102","Census Tract 4301.02, Alameda County, California","B01001_001",2424,209,2424,209
"06001430200","Census Tract 4302, Alameda County, California","B01001_001",6878,403,6878,403
"06001430300","Census Tract 4303, Alameda County, California","B01001_001",3826,202,3826,202
"06001430400","Census Tract 4304, Alameda County, California","B01001_001",2107,163,2107,163
"06001430500","Census Tract 4305, Alameda County, California","B01001_001",5987,473,5987,473
"06001430600","Census Tract 4306, Alameda County, California","B01001_001",6486,374,6486,374
"06001430700","Census Tract 4307, Alameda County, California","B01001_001",4170,219,4170,219
"06001430800","Census Tract 4308, Alameda County, California","B01001_001",5282,485,5282,485
"06001430900","Census Tract 4309, Alameda County, California","B01001_001",5309,363,5309,363
"06001431000","Census Tract 4310, Alameda County, California","B01001_001",2777,285,2777,285
"06001431100","Census Tract 4311, Alameda County, California","B01001_001",3561,320,3561,320
"06001431200","Census Tract 4312, Alameda County, California","B01001_001",5574,453,5574,453
"06001432100","Census Tract 4321, Alameda County, California","B01001_001",3574,281,3574,281
"06001432200","Census Tract 4322, Alameda County, California","B01001_001",4078,272,4078,272
"06001432300","Census Tract 4323, Alameda County, California","B01001_001",4744,245,4744,245
"06001432400","Census Tract 4324, Alameda County, California","B01001_001",7003,536,7003,536
"06001432501","Census Tract 4325.01, Alameda County, California","B01001_001",4854,385,4854,385
"06001432502","Census Tract 4325.02, Alameda County, California","B01001_001",5178,373,5178,373
"06001432600","Census Tract 4326, Alameda County, California","B01001_001",7043,431,7043,431
"06001432700","Census Tract 4327, Alameda County, California","B01001_001",2816,185,2816,185
"06001432800","Census Tract 4328, Alameda County, California","B01001_001",3979,304,3979,304
"06001433000","Census Tract 4330, Alameda County, California","B01001_001",3654,606,3654,606
"06001433102","Census Tract 4331.02, Alameda County, California","B01001_001",4485,362,4485,362
"06001433103","Census Tract 4331.03, Alameda County, California","B01001_001",3523,397,3523,397
"06001433104","Census Tract 4331.04, Alameda County, California","B01001_001",3724,334,3724,334
"06001433200","Census Tract 4332, Alameda County, California","B01001_001",7991,655,7991,655
"06001433300","Census Tract 4333, Alameda County, California","B01001_001",7761,449,7761,449
"06001433400","Census Tract 4334, Alameda County, California","B01001_001",5934,398,5934,398
"06001433500","Census Tract 4335, Alameda County, California","B01001_001",4830,359,4830,359
"06001433600","Census Tract 4336, Alameda County, California","B01001_001",6094,521,6094,521
"06001433700","Census Tract 4337, Alameda County, California","B01001_001",3503,365,3503,365
"06001433800","Census Tract 4338, Alameda County, California","B01001_001",8179,517,8179,517
"06001433900","Census Tract 4339, Alameda County, California","B01001_001",7685,695,7685,695
"06001434000","Census Tract 4340, Alameda County, California","B01001_001",5334,468,5334,468
"06001435102","Census Tract 4351.02, Alameda County, California","B01001_001",6189,440,6189,440
"06001435103","Census Tract 4351.03, Alameda County, California","B01001_001",7420,352,7420,352
"06001435104","Census Tract 4351.04, Alameda County, California","B01001_001",6117,516,6117,516
"06001435200","Census Tract 4352, Alameda County, California","B01001_001",4659,425,4659,425
"06001435300","Census Tract 4353, Alameda County, California","B01001_001",4739,290,4739,290
"06001435400","Census Tract 4354, Alameda County, California","B01001_001",4538,494,4538,494
"06001435500","Census Tract 4355, Alameda County, California","B01001_001",3983,455,3983,455
"06001435601","Census Tract 4356.01, Alameda County, California","B01001_001",5662,503,5662,503
"06001435602","Census Tract 4356.02, Alameda County, California","B01001_001",5453,435,5453,435
"06001435700","Census Tract 4357, Alameda County, California","B01001_001",5231,517,5231,517
"06001435800","Census Tract 4358, Alameda County, California","B01001_001",5543,379,5543,379
"06001435900","Census Tract 4359, Alameda County, California","B01001_001",5371,321,5371,321
"06001436000","Census Tract 4360, Alameda County, California","B01001_001",5063,352,5063,352
"06001436100","Census Tract 4361, Alameda County, California","B01001_001",5977,349,5977,349
"06001436200","Census Tract 4362, Alameda County, California","B01001_001",4266,379,4266,379
"06001436300","Census Tract 4363, Alameda County, California","B01001_001",9444,671,9444,671
"06001436401","Census Tract 4364.01, Alameda County, California","B01001_001",7173,412,7173,412
"06001436402","Census Tract 4364.02, Alameda County, California","B01001_001",2704,139,2704,139
"06001436500","Census Tract 4365, Alameda County, California","B01001_001",5375,343,5375,343
"06001436601","Census Tract 4366.01, Alameda County, California","B01001_001",6938,568,6938,568
"06001436602","Census Tract 4366.02, Alameda County, California","B01001_001",5113,460,5113,460
"06001436700","Census Tract 4367, Alameda County, California","B01001_001",3265,310,3265,310
"06001436800","Census Tract 4368, Alameda County, California","B01001_001",4382,343,4382,343
"06001436900","Census Tract 4369, Alameda County, California","B01001_001",6745,510,6745,510
"06001437000","Census Tract 4370, Alameda County, California","B01001_001",3493,299,3493,299
"06001437101","Census Tract 4371.01, Alameda County, California","B01001_001",7867,545,7867,545
"06001437102","Census Tract 4371.02, Alameda County, California","B01001_001",4521,331,4521,331
"06001437200","Census Tract 4372, Alameda County, California","B01001_001",7489,669,7489,669
"06001437300","Census Tract 4373, Alameda County, California","B01001_001",3277,203,3277,203
"06001437400","Census Tract 4374, Alameda County, California","B01001_001",3485,257,3485,257
"06001437500","Census Tract 4375, Alameda County, California","B01001_001",4531,314,4531,314
"06001437600","Census Tract 4376, Alameda County, California","B01001_001",3536,234,3536,234
"06001437701","Census Tract 4377.01, Alameda County, California","B01001_001",3773,393,3773,393
"06001437702","Census Tract 4377.02, Alameda County, California","B01001_001",4295,378,4295,378
"06001437800","Census Tract 4378, Alameda County, California","B01001_001",4997,333,4997,333
"06001437900","Census Tract 4379, Alameda County, California","B01001_001",2321,231,2321,231
"06001438000","Census Tract 4380, Alameda County, California","B01001_001",3952,525,3952,525
"06001438100","Census Tract 4381, Alameda County, California","B01001_001",8307,564,8307,564
"06001438201","Census Tract 4382.01, Alameda County, California","B01001_001",5144,442,5144,442
"06001438203","Census Tract 4382.03, Alameda County, California","B01001_001",3888,398,3888,398
"06001438204","Census Tract 4382.04, Alameda County, California","B01001_001",5838,321,5838,321
"06001438300","Census Tract 4383, Alameda County, California","B01001_001",3767,333,3767,333
"06001438400","Census Tract 4384, Alameda County, California","B01001_001",2757,218,2757,218
"06001440100","Census Tract 4401, Alameda County, California","B01001_001",2799,257,2799,257
"06001440200","Census Tract 4402, Alameda County, California","B01001_001",6125,479,6125,479
"06001440301","Census Tract 4403.01, Alameda County, California","B01001_001",7596,482,7596,482
"06001440304","Census Tract 4403.04, Alameda County, California","B01001_001",5035,336,5035,336
"06001440305","Census Tract 4403.05, Alameda County, California","B01001_001",4190,231,4190,231
"06001440306","Census Tract 4403.06, Alameda County, California","B01001_001",4322,364,4322,364
"06001440307","Census Tract 4403.07, Alameda County, California","B01001_001",4748,346,4748,346
"06001440308","Census Tract 4403.08, Alameda County, California","B01001_001",6171,345,6171,345
"06001440331","Census Tract 4403.31, Alameda County, California","B01001_001",3276,278,3276,278
"06001440332","Census Tract 4403.32, Alameda County, California","B01001_001",3505,169,3505,169
"06001440333","Census Tract 4403.33, Alameda County, California","B01001_001",2982,216,2982,216
"06001440334","Census Tract 4403.34, Alameda County, California","B01001_001",4414,315,4414,315
"06001440335","Census Tract 4403.35, Alameda County, California","B01001_001",7051,529,7051,529
"06001440336","Census Tract 4403.36, Alameda County, California","B01001_001",4437,364,4437,364
"06001441100","Census Tract 4411, Alameda County, California","B01001_001",4625,340,4625,340
"06001441200","Census Tract 4412, Alameda County, California","B01001_001",7277,611,7277,611
"06001441301","Census Tract 4413.01, Alameda County, California","B01001_001",3301,217,3301,217
"06001441302","Census Tract 4413.02, Alameda County, California","B01001_001",5937,309,5937,309
"06001441401","Census Tract 4414.01, Alameda County, California","B01001_001",8082,640,8082,640
"06001441402","Census Tract 4414.02, Alameda County, California","B01001_001",5407,311,5407,311
"06001441501","Census Tract 4415.01, Alameda County, California","B01001_001",6546,389,6546,389
"06001441503","Census Tract 4415.03, Alameda County, California","B01001_001",8013,417,8013,417
"06001441521","Census Tract 4415.21, Alameda County, California","B01001_001",6175,306,6175,306
"06001441522","Census Tract 4415.22, Alameda County, California","B01001_001",5233,311,5233,311
"06001441523","Census Tract 4415.23, Alameda County, California","B01001_001",4418,265,4418,265
"06001441524","Census Tract 4415.24, Alameda County, California","B01001_001",4215,302,4215,302
"06001441601","Census Tract 4416.01, Alameda County, California","B01001_001",4982,316,4982,316
"06001441602","Census Tract 4416.02, Alameda County, California","B01001_001",8113,416,8113,416
"06001441700","Census Tract 4417, Alameda County, California","B01001_001",8527,778,8527,778
"06001441800","Census Tract 4418, Alameda County, California","B01001_001",7543,494,7543,494
"06001441921","Census Tract 4419.21, Alameda County, California","B01001_001",3909,317,3909,317
"06001441923","Census Tract 4419.23, Alameda County, California","B01001_001",6250,505,6250,505
"06001441924","Census Tract 4419.24, Alameda County, California","B01001_001",7481,584,7481,584
"06001441925","Census Tract 4419.25, Alameda County, California","B01001_001",7291,414,7291,414
"06001441926","Census Tract 4419.26, Alameda County, California","B01001_001",4595,303,4595,303
"06001441927","Census Tract 4419.27, Alameda County, California","B01001_001",4492,319,4492,319
"06001442000","Census Tract 4420, Alameda County, California","B01001_001",3419,206,3419,206
"06001442100","Census Tract 4421, Alameda County, California","B01001_001",5462,331,5462,331
"06001442200","Census Tract 4422, Alameda County, California","B01001_001",7473,341,7473,341
"06001442301","Census Tract 4423.01, Alameda County, California","B01001_001",5496,299,5496,299
"06001442302","Census Tract 4423.02, Alameda County, California","B01001_001",6366,474,6366,474
"06001442400","Census Tract 4424, Alameda County, California","B01001_001",6822,428,6822,428
"06001442500","Census Tract 4425, Alameda County, California","B01001_001",7374,606,7374,606
"06001442601","Census Tract 4426.01, Alameda County, California","B01001_001",4160,327,4160,327
"06001442602","Census Tract 4426.02, Alameda County, California","B01001_001",5059,447,5059,447
"06001442700","Census Tract 4427, Alameda County, California","B01001_001",3048,208,3048,208
"06001442800","Census Tract 4428, Alameda County, California","B01001_001",2952,201,2952,201
"06001442900","Census Tract 4429, Alameda County, California","B01001_001",7761,697,7761,697
"06001443001","Census Tract 4430.01, Alameda County, California","B01001_001",2891,158,2891,158
"06001443002","Census Tract 4430.02, Alameda County, California","B01001_001",6930,388,6930,388
"06001443102","Census Tract 4431.02, Alameda County, California","B01001_001",5065,235,5065,235
"06001443103","Census Tract 4431.03, Alameda County, California","B01001_001",4107,278,4107,278
"06001443104","Census Tract 4431.04, Alameda County, California","B01001_001",5620,294,5620,294
"06001443105","Census Tract 4431.05, Alameda County, California","B01001_001",4785,251,4785,251
"06001443200","Census Tract 4432, Alameda County, California","B01001_001",4053,266,4053,266
"06001443301","Census Tract 4433.01, Alameda County, California","B01001_001",4355,244,4355,244
"06001443321","Census Tract 4433.21, Alameda County, California","B01001_001",3368,288,3368,288
"06001443322","Census Tract 4433.22, Alameda County, California","B01001_001",3308,171,3308,171
"06001444100","Census Tract 4441, Alameda County, California","B01001_001",7556,552,7556,552
"06001444200","Census Tract 4442, Alameda County, California","B01001_001",7112,561,7112,561
"06001444301","Census Tract 4443.01, Alameda County, California","B01001_001",3973,312,3973,312
"06001444302","Census Tract 4443.02, Alameda County, California","B01001_001",5185,369,5185,369
"06001444400","Census Tract 4444, Alameda County, California","B01001_001",5477,368,5477,368
"06001444500","Census Tract 4445, Alameda County, California","B01001_001",7518,470,7518,470
"06001444601","Census Tract 4446.01, Alameda County, California","B01001_001",5787,367,5787,367
"06001444602","Census Tract 4446.02, Alameda County, California","B01001_001",4563,284,4563,284
"06001450101","Census Tract 4501.01, Alameda County, California","B01001_001",5750,413,5750,413
"06001450102","Census Tract 4501.02, Alameda County, California","B01001_001",5664,379,5664,379
"06001450200","Census Tract 4502, Alameda County, California","B01001_001",5244,386,5244,386
"06001450300","Census Tract 4503, Alameda County, California","B01001_001",5212,330,5212,330
"06001450400","Census Tract 4504, Alameda County, California","B01001_001",7286,478,7286,478
"06001450501","Census Tract 4505.01, Alameda County, California","B01001_001",3156,213,3156,213
"06001450502","Census Tract 4505.02, Alameda County, California","B01001_001",5490,400,5490,400
"06001450601","Census Tract 4506.01, Alameda County, California","B01001_001",3641,216,3641,216
"06001450602","Census Tract 4506.02, Alameda County, California","B01001_001",10265,522,10265,522
"06001450603","Census Tract 4506.03, Alameda County, California","B01001_001",5155,277,5155,277
"06001450604","Census Tract 4506.04, Alameda County, California","B01001_001",5505,261,5505,261
"06001450605","Census Tract 4506.05, Alameda County, California","B01001_001",3893,198,3893,198
"06001450606","Census Tract 4506.06, Alameda County, California","B01001_001",6254,286,6254,286
"06001450607","Census Tract 4506.07, Alameda County, California","B01001_001",5717,578,5717,578
"06001450701","Census Tract 4507.01, Alameda County, California","B01001_001",8596,544,8596,544
"06001450741","Census Tract 4507.41, Alameda County, California","B01001_001",5852,343,5852,343
"06001450742","Census Tract 4507.42, Alameda County, California","B01001_001",5436,326,5436,326
"06001450743","Census Tract 4507.43, Alameda County, California","B01001_001",6684,446,6684,446
"06001450744","Census Tract 4507.44, Alameda County, California","B01001_001",6273,465,6273,465
"06001450745","Census Tract 4507.45, Alameda County, California","B01001_001",6712,532,6712,532
"06001450746","Census Tract 4507.46, Alameda County, California","B01001_001",3525,167,3525,167
"06001450750","Census Tract 4507.50, Alameda County, California","B01001_001",5630,352,5630,352
"06001450751","Census Tract 4507.51, Alameda County, California","B01001_001",11119,446,11119,446
"06001450752","Census Tract 4507.52, Alameda County, California","B01001_001",7343,368,7343,368
"06001451101","Census Tract 4511.01, Alameda County, California","B01001_001",8692,641,8692,641
"06001451102","Census Tract 4511.02, Alameda County, California","B01001_001",4003,181,4003,181
"06001451201","Census Tract 4512.01, Alameda County, California","B01001_001",7695,557,7695,557
"06001451202","Census Tract 4512.02, Alameda County, California","B01001_001",5188,406,5188,406
"06001451300","Census Tract 4513, Alameda County, California","B01001_001",6903,426,6903,426
"06001451401","Census Tract 4514.01, Alameda County, California","B01001_001",6191,361,6191,361
"06001451403","Census Tract 4514.03, Alameda County, California","B01001_001",2308,142,2308,142
"06001451404","Census Tract 4514.04, Alameda County, California","B01001_001",7094,627,7094,627
"06001451501","Census Tract 4515.01, Alameda County, California","B01001_001",4693,407,4693,407
"06001451503","Census Tract 4515.03, Alameda County, California","B01001_001",6182,423,6182,423
"06001451504","Census Tract 4515.04, Alameda County, California","B01001_001",1709,118,1709,118
